Day,Period,Time,B202,B302,B303,Room_309,Room_310,Room_201,Network_Lab_1,Network_Lab_2,Network_Lab_3,Project_Lab
Monday,P1,9:30-10:30,CST308,CST302,CST304,---,---,---,---,---,---,---
Monday,P2,10:30-11:30,---,CST362,CST308,---,---,---,---,---,---,---
Monday,P3,11:30-12:30,CST308,CST302,CST308,---,---,---,---,---,---,CSD334
Monday,P4,1:30-2:30,---,CST308,CST306,---,---,---,---,---,---,---
Monday,P5,2:30-3:30,CST362,---,CST306,---,---,---,---,CSL332,---,---
Monday,P6,3:30-4:30,CST306,CST306,HUT300,---,---,---,---,---,---,---
Tuesday,P1,9:30-10:30,CST304,---,---,---,---,---,---,---,---,---
Tuesday,P2,10:30-11:30,CST304,CST308,CST304,---,---,---,---,---,CSL332,---
Tuesday,P3,11:30-12:30,CST302,HUT300,CST308,---,---,---,---,---,CSL332,CSD334
Tuesday,P4,1:30-2:30,---,CST304,CST302,---,---,---,---,---,---,---
Tuesday,P5,2:30-3:30,---,---,---,---,HNT301,---,---,---,---,---
Tuesday,P6,3:30-4:30,CST304,CST302,HUT300,---,---,---,---,---,---,---
Wednesday,P1,9:30-10:30,CST362,---,---,---,---,---,CSL332,---,---,---
Wednesday,P2,10:30-11:30,CST304,CST302,CST304,---,---,---,---,---,---,---
Wednesday,P3,11:30-12:30,CST302,CST362,CST302,---,---,---,---,---,---,CSD334
Wednesday,P4,1:30-2:30,---,CST304,CST362,---,---,---,---,---,---,---
Wednesday,P5,2:30-3:30,CST306,---,CST302,---,---,---,---,CSL332,CSL332,CSD334
Wednesday,P6,3:30-4:30,HUT300,---,CST306,---,---,---,---,---,---,---
Thursday,P1,9:30-10:30,CST306,CST306,CST362,---,---,---,---,CSL332,---,CSD334
Thursday,P2,10:30-11:30,CST362,CST308,---,---,---,---,---,---,---,CSD334
Thursday,P3,11:30-12:30,CST302,CST308,---,---,---,---,---,---,---,---
Thursday,P4,1:30-2:30,CST308,HUT300,---,---,---,---,---,---,CSL332,---
Thursday,P5,2:30-3:30,HUT300,---,CST302,---,---,---,CSL332,---,---,CSD334
Thursday,P6,3:30-4:30,---,CST306,HUT300,---,---,---,---,---,---,---
Friday,P1,9:30-10:30,HUT300,CST362,CST306,---,---,---,---,---,---,---
Friday,P2,10:30-11:30,CST306,CST304,---,---,---,---,---,---,---,---
Friday,P3,11:30-12:30,CST302,CST304,CST362,---,---,---,---,---,---,---
Friday,P4,2:00-3:00,---,HUT300,CST308,---,---,---,---,---,---,CSD334
Friday,P5,3:00-4:00,---,---,---,---,HNT301,---,---,---,---,---
Friday,P6,4:00-5:00,CST308,CST306,CST304,---,---,---,---,---,---,CSD334
